dataset,epoch,train_acc,test_acc,time
MNIST,0,92.6961045891142,78.19511217948718,810.2513802051544
MNIST,1,99.08617929562433,80.08814102564102,784.031929731369
MNIST,2,99.08117662753469,76.4823717948718,818.726699590683
MNIST,3,99.15955176093917,81.31009615384616,814.1556603908539
MNIST,4,99.0211446104589,80.47876602564102,731.5579545497894
MNIST,5,99.07784151547492,81.83092948717949,714.2180247306824
MNIST,6,99.10285485592316,81.73076923076923,712.6374046802521
MNIST,7,99.1078575240128,79.8076923076923,715.6006283760071
MNIST,8,99.0411552828175,80.82932692307692,717.5871460437775
MNIST,9,98.98445837780149,80.87940705128206,713.363401889801
