dataset,epoch,train_acc,test_acc,time
MNIST,0,91.89401013874067,75.60096153846153,508.3891818523407
MNIST,1,98.70264140875133,72.9266826923077,559.9507811069489
MNIST,2,98.79602454642476,76.0917467948718,525.2810649871826
MNIST,3,98.76100586979723,75.22035256410257,533.4760313034058
MNIST,4,98.6776280683031,72.58613782051282,633.5140335559845
MNIST,5,98.71264674493062,74.97996794871794,641.3690702915192
MNIST,6,98.85438900747064,78.4755608974359,619.479085445404
MNIST,7,98.85772411953042,75.77123397435898,685.5935349464417
MNIST,8,98.63760672358592,75.55088141025641,675.7440400123596
MNIST,9,98.7626734258271,75.7411858974359,684.1358058452606
