dataset,epoch,train_acc,test_acc,time
MNIST,0,91.9190234791889,76.89302884615384,890.5268619060516
MNIST,1,98.73932764140875,78.64583333333333,882.9442219734192
MNIST,2,98.66262006403416,79.32692307692308,889.797872543335
MNIST,3,98.91275346851654,80.13822115384616,888.2425408363342
MNIST,4,98.68596584845251,80.43870192307692,820.1991302967072
MNIST,5,98.76600853788688,77.33373397435898,764.3921165466309
MNIST,6,98.79102187833512,79.5673076923077,768.3165881633759
MNIST,7,98.64427694770545,77.13341346153847,773.3359570503235
MNIST,8,98.71931696905015,77.3036858974359,767.3759598731995
MNIST,9,98.6759605122732,80.40865384615384,773.159049987793
