dataset,epoch,train_acc,test_acc,time
MNIST,0,80.72,79.00641025641026,960.9810280799866
MNIST,1,98.91666666666667,77.51402243589743,959.9370970726013
MNIST,2,98.84833333333333,75.77123397435898,1152.9893531799316
MNIST,3,98.755,78.18509615384616,1244.9153831005096
MNIST,4,98.72166666666666,78.35536858974359,1567.8767652511597
MNIST,5,98.665,77.80448717948718,1802.1369292736053
MNIST,6,98.78333333333333,79.65745192307692,1766.0533578395844
MNIST,7,98.77833333333334,73.7880608974359,1781.0551662445068
MNIST,8,98.71833333333333,77.72435897435898,1773.4269976615906
MNIST,9,98.70833333333333,78.19511217948718,1762.0179421901703
