dataset,epoch,train_acc,test_acc,time
MNIST,0,92.32924226254002,79.96794871794872,1166.613451242447
MNIST,1,98.99779882604055,81.26001602564102,934.6954352855682
MNIST,2,98.96778281750267,80.68910256410257,616.5925567150116
MNIST,3,99.03948772678763,80.66907051282051,619.6366791725159
MNIST,4,98.75933831376734,80.57892628205128,621.2148826122284
MNIST,5,98.64094183564568,79.86778846153847,612.7220895290375
MNIST,6,98.60592315901815,78.42548076923077,615.9026684761047
MNIST,7,98.72932230522946,76.46233974358974,585.0483582019806
MNIST,8,98.68763340448238,78.99639423076923,527.9916574954987
MNIST,9,98.6292689434365,76.53245192307692,531.3428387641907
