dataset,epoch,train_acc,test_acc,time
MNIST,0,92.15581643543223,78.14503205128206,684.6179394721985
MNIST,1,98.88607257203842,80.48878205128206,895.8668615818024
MNIST,2,98.83938100320171,75.4306891025641,881.0841989517212
MNIST,3,98.74599786552828,79.45713141025641,640.5698862075806
MNIST,4,98.69096851654216,73.46754807692308,533.9173684120178
MNIST,5,98.62426627534686,77.35376602564102,531.0205678939819
MNIST,6,98.68930096051227,77.34375,526.275153875351
MNIST,7,98.53588580576307,72.7363782051282,528.5382966995239
MNIST,8,98.6576173959445,78.8261217948718,531.7016496658325
MNIST,9,98.58924759871931,81.27003205128206,528.815306186676
