dataset,epoch,train_acc,test_acc,time
MNIST,0,63.17166666666667,76.71274038461539,1164.9479415416718
MNIST,1,98.06833333333333,78.49559294871794,1247.7381019592285
MNIST,2,98.795,79.05649038461539,1586.4562773704529
MNIST,3,98.68166666666667,65.99559294871794,1788.1251888275146
MNIST,4,98.71166666666667,72.97676282051282,1764.003647327423
MNIST,5,98.64166666666667,79.2568108974359,1772.3298013210297
MNIST,6,98.905,80.0380608974359,1767.7456402778625
MNIST,7,98.85833333333333,77.94471153846153,1743.9529738426208
MNIST,8,98.53833333333333,61.76883012820513,1347.1150166988373
MNIST,9,98.69666666666667,65.30448717948718,1322.9643754959106
