dataset,epoch,train_acc,test_acc,time
MNIST,0,91.80729722518677,78.40544871794872,660.2298855781555
MNIST,1,98.84271611526147,72.65625,639.3642275333405
MNIST,2,98.72932230522946,76.24198717948718,654.6992061138153
MNIST,3,98.66595517609392,75.23036858974359,624.0743451118469
MNIST,4,98.65594983991463,77.31370192307692,497.39880776405334
MNIST,5,98.57423959445038,76.61258012820512,504.9979712963104
MNIST,6,98.77101120597652,75.28044871794872,531.7403721809387
MNIST,7,98.76100586979723,77.29366987179488,520.5457775592804
MNIST,8,98.77101120597652,72.06530448717949,501.2078239917755
MNIST,9,98.74933297758805,74.01842948717949,422.1260998249054
