dataset,epoch,test_acc,time
MNIST,0,60.34655448717949,450.7779321670532
MNIST,1,57.47195512820513,448.92908215522766
MNIST,2,57.00120192307692,448.50494384765625
MNIST,3,59.17467948717949,450.00204372406006
MNIST,4,56.66065705128205,450.1122872829437
MNIST,5,57.311698717948715,449.7643074989319
MNIST,6,57.44190705128205,449.04800176620483
MNIST,7,56.84094551282051,448.7700068950653
MNIST,8,59.10456730769231,432.0967171192169
