dataset,epoch,test_acc,time
MNIST,0,25.32051282051282,327.32644057273865
MNIST,1,35.96754807692308,289.49264454841614
MNIST,2,41.21594551282051,247.11398100852966
MNIST,3,43.068910256410255,226.7889106273651
MNIST,4,46.78485576923077,238.13626503944397
