Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,86.18,2005.92,35.82264,16.206141233444214
2,88.52,4011.84,71.64528,31.85731053352356
3,89.78,6017.76,107.46792,46.53602409362793
4,90.32,8023.68,143.29056,61.552465200424194
5,91.36,10029.6,179.1132,76.65692329406738
6,91.86,12035.52,214.93584,91.54884123802185
7,92.46,14041.44,250.75848,106.29934549331665
8,93.1,16047.36,286.58112,121.10945725440979
9,93.22,18053.28,322.40376,136.3248586654663
10,93.46,20059.2,358.2264,151.08410453796387
11,93.58,22065.12,394.04904,165.3808615207672
12,93.84,24071.04,429.87168,180.31021428108215
13,94.2,26076.96,465.69432,195.6670868396759
14,94.26,28082.88,501.51696,212.6134397983551
15,94.22,30088.8,537.3396,227.26918053627014
16,94.5,32094.72,573.16224,242.152494430542
17,94.7,34100.64,608.98488,257.4437038898468
18,94.76,36106.56,644.80752,272.4811692237854
19,94.86,38112.48,680.63016,287.3795804977417
20,94.96,40118.4,716.4528,302.1761431694031
21,95.02,42124.32,752.27544,316.9035875797272
22,95.22,44130.24,788.09808,332.1985685825348
23,95.3,46136.16,823.92072,347.51296615600586
24,95.34,48142.08,859.74336,363.73759508132935
25,95.5,50148.0,895.566,379.20407605171204
