Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,86.28,2005.92,35.82264,4.218542575836182
2,91.36,4011.84,71.64528,8.34940767288208
3,92.42,6017.76,107.46792,12.450071811676025
4,93.22,8023.68,143.29056,16.551740407943726
5,93.52,10029.6,179.1132,20.69849133491516
6,93.84,12035.52,214.93584,24.758074522018433
7,94.28,14041.44,250.75848,28.82591485977173
8,94.46,16047.36,286.58112,32.951517820358276
9,94.68,18053.28,322.40376,37.03613829612732
10,94.9,20059.2,358.2264,41.09489965438843
11,94.88,22065.12,394.04904,45.20628905296326
12,94.98,24071.04,429.87168,49.32786989212036
13,95.04,26076.96,465.69432,53.40696716308594
14,95.04,28082.88,501.51696,57.51166892051697
15,95.36,30088.8,537.3396,61.63631987571716
16,95.3,32094.72,573.16224,65.72923731803894
17,95.44,34100.64,608.98488,69.79417991638184
18,95.54,36106.56,644.80752,73.89552688598633
19,95.72,38112.48,680.63016,77.95480847358704
20,95.64,40118.4,716.4528,82.02438235282898
21,95.72,42124.32,752.27544,86.08599781990051
22,95.7,44130.24,788.09808,90.20021414756775
23,95.64,46136.16,823.92072,94.27050518989563
24,95.72,48142.08,859.74336,98.34228920936584
25,95.72,50148.0,895.566,102.45304417610168
26,95.74,52153.92,931.38864,106.52306890487671
27,95.84,54159.84,967.21128,110.61765623092651
28,95.86,56165.76,1003.03392,114.68537259101868
29,96.14,58171.68,1038.85656,118.81864380836487
30,95.94,60177.6,1074.6792,122.89243412017822
31,96.1,62183.52,1110.50184,126.93612718582153
32,95.78,64189.44,1146.32448,131.04623889923096
33,96.12,66195.36,1182.14712,135.15102767944336
34,96.36,68201.28,1217.96976,139.2264575958252
35,96.16,70207.2,1253.7924,143.32135558128357
36,96.2,72213.12,1289.61504,147.3625226020813
37,96.32,74219.04,1325.43768,151.41593861579895
38,96.3,76224.96,1361.26032,155.47336769104004
39,96.3,78230.88,1397.08296,159.57817029953003
40,96.26,80236.8,1432.9056,163.64330983161926
