number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha_gen,params_lr_activities,params_lr_weights,params_momentum,params_weight_decay,state
0,0.6435004302024843,2026-01-29 15:12:43.238397,2026-01-29 15:17:55.346517,0 days 00:05:12.108120,tanh,0.0001,0.007991111057855748,1.6366208722967484e-05,0.5,2.2956515245146853e-05,COMPLETE
1,0.5556768290996552,2026-01-29 15:17:55.346602,2026-01-29 15:23:13.782724,0 days 00:05:18.436122,leaky_relu,0.0001,0.017713924232833515,1.5613096801603216e-05,0.9,0.00033662771409090955,COMPLETE
2,0.35319106018543245,2026-01-29 15:23:13.782798,2026-01-29 15:28:25.356635,0 days 00:05:11.573837,tanh,0.1,0.0015191697045709007,9.653593032698217e-05,0.9,0.005874173162165328,COMPLETE
3,0.7227210295677184,2026-01-29 15:28:25.356751,2026-01-29 15:34:10.251967,0 days 00:05:44.895216,gelu,0.1,0.025621735747065128,1.2750668663925424e-05,0.0,0.00015725610553460242,COMPLETE
4,0.47556909906864187,2026-01-29 15:34:10.252085,2026-01-29 15:39:30.013338,0 days 00:05:19.761253,leaky_relu,0.1,0.00026176432293254355,1.618064427855846e-05,0.0,0.007989019781822862,COMPLETE
5,2.469494765663147,2026-01-29 15:39:30.013497,2026-01-29 15:39:42.786458,0 days 00:00:12.772961,leaky_relu,0.1,0.011029018030490155,1.2206756022620945e-06,0.9,0.0011555486284164256,PRUNED
6,2.4555812912940977,2026-01-29 15:39:42.786517,2026-01-29 15:39:55.514202,0 days 00:00:12.727685,leaky_relu,0.1,0.00042712287888995023,1.4773343612243215e-06,0.0,6.308027755077655e-05,PRUNED
7,1.0296742339134215,2026-01-29 15:39:55.514274,2026-01-29 15:40:09.359113,0 days 00:00:13.844839,gelu,0.0001,0.005164816847821332,1.9874027137375243e-05,0.5,0.0008440260104261502,PRUNED
8,2.4922342669487,2026-01-29 15:40:09.359163,2026-01-29 15:40:23.090015,0 days 00:00:13.730852,gelu,1.0,0.00017621754406640613,2.1465199982956632e-06,0.5,0.00012339300788168745,PRUNED
9,1.050687775993347,2026-01-29 15:40:23.090057,2026-01-29 15:40:35.809349,0 days 00:00:12.719292,leaky_relu,0.0001,0.00016847598657472506,2.3178722470201513e-05,0.5,0.000913426559738936,PRUNED
10,0.20927096810340884,2026-01-29 15:40:35.809395,2026-01-29 15:45:47.198186,0 days 00:05:11.388791,tanh,0.001,0.001393972346359285,9.335348470463325e-05,0.9,0.006730926631278325,COMPLETE
11,0.2576102483987808,2026-01-29 15:45:47.198264,2026-01-29 15:50:58.556418,0 days 00:05:11.358154,tanh,0.001,0.0011587060018943952,8.017593157983291e-05,0.9,0.009993680457870767,COMPLETE
12,0.2008252026557924,2026-01-29 15:50:58.556517,2026-01-29 15:56:09.992159,0 days 00:05:11.435642,tanh,0.001,0.001238616884883715,9.619920786823702e-05,0.9,0.0029641169521327153,COMPLETE
13,1.0334967286109924,2026-01-29 15:56:09.992269,2026-01-29 15:56:22.496080,0 days 00:00:12.503811,tanh,0.001,0.0007051903986905004,4.743182140035136e-05,0.9,0.0025063255108078546,PRUNED
14,1.87600945854187,2026-01-29 15:56:22.496126,2026-01-29 15:56:34.958629,0 days 00:00:12.462503,tanh,0.01,0.0027929141591137054,4.964586422252685e-06,0.9,0.002154940747816764,PRUNED
15,0.9954861989021302,2026-01-29 15:56:34.958674,2026-01-29 15:56:47.405078,0 days 00:00:12.446404,tanh,0.001,0.0030918319671498933,4.7154477328247325e-05,0.9,0.0033288583569519785,PRUNED
16,1.0130374138832092,2026-01-29 15:56:47.405152,2026-01-29 15:56:59.973006,0 days 00:00:12.567854,tanh,0.001,0.0006650995422541345,4.322208577211899e-05,0.9,0.0005021915943247139,PRUNED
17,1.0349546623229982,2026-01-29 15:56:59.973056,2026-01-29 15:57:12.430074,0 days 00:00:12.457018,tanh,0.001,0.0014779245467533898,3.297476053628271e-05,0.9,0.004194713021017902,PRUNED
18,1.5637407404899597,2026-01-29 15:57:12.430120,2026-01-29 15:57:24.928518,0 days 00:00:12.498398,tanh,0.01,0.004492962658632805,6.21421296489629e-06,0.9,0.0017471964016010583,PRUNED
19,1.134913965034485,2026-01-29 15:57:24.928563,2026-01-29 15:57:37.372868,0 days 00:00:12.444305,tanh,1.0,0.0005398778715756042,6.826255334343584e-05,0.0,0.004417910171896361,PRUNED
