Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,88.9,2005.92,35.82264,5.29080057144165
2,92.2,4011.84,71.64528,10.501960754394531
3,93.26,6017.76,107.46792,15.652267217636108
4,94.14,8023.68,143.29056,20.149620056152344
5,94.66,10029.6,179.1132,25.24652361869812
6,95.0,12035.52,214.93584,30.39975666999817
7,95.22,14041.44,250.75848,35.549678564071655
8,95.32,16047.36,286.58112,40.747262716293335
9,95.64,18053.28,322.40376,45.89841270446777
10,95.84,20059.2,358.2264,51.044907331466675
11,96.04,22065.12,394.04904,56.19822549819946
12,95.98,24071.04,429.87168,61.42540717124939
13,96.04,26076.96,465.69432,66.57205033302307
14,96.12,28082.88,501.51696,71.03191208839417
15,96.32,30088.8,537.3396,76.02700424194336
16,96.32,32094.72,573.16224,81.17708325386047
17,96.16,34100.64,608.98488,86.31632280349731
18,96.24,36106.56,644.80752,91.48837184906006
19,96.28,38112.48,680.63016,96.65289163589478
20,96.46,40118.4,716.4528,101.80076169967651
