Epoch,Accuracy,MDL_Total,FLOPs_D(G),FLOPs_S(G),DM_D(GB),DM_S(GB),Bits_D(Gb),Bits_S(Gb),Time_s
1,89.98,35729.725971221924,1333.92,1333.9196486,23.83864,2681.22882692,79.5648,103.58807963,20.86005663871765
2,92.47,23671.829849243164,2667.84,2667.8392881,47.67728,5362.45763382,159.1296,207.176140605,41.57794523239136
3,93.62,19532.36870765686,4001.76,4001.7588758,71.51592,8043.68632676,238.6944,310.76409539,62.145517349243164
4,94.32,17205.04782485962,5335.68,5335.678474,95.35456,10724.9150428,318.2592,414.3520717,82.82973599433899
5,94.74,15604.989629745483,6669.6,6669.5980953,119.1932,13406.14380966,397.824,517.940095365,103.30268049240112
6,95.11,14414.458681106567,8003.52,8003.5176977,143.03184,16087.37253494,477.3888,621.528080285,123.48302578926086
7,95.25,13465.762619018555,9337.44,9337.4372623,166.87048,18768.60117706,556.9536,725.115987715,144.66490697860718
8,95.41,12697.950901031494,10671.36,10671.3568437,190.70912,21449.82985614,636.5184,828.703929585,165.09526419639587
9,95.56,12047.816856384277,12005.28,12005.2764468,214.54776,24131.05858296,716.0832,932.29191594,184.26078128814697
10,95.67,11490.584725379944,13339.2,13339.1960324,238.3864,26812.28727128,795.648,1035.87986642,205.34911155700684
11,95.81,11008.181037902832,14673.12,14673.1156033,262.22504,29493.51592726,875.2128,1139.467786765,225.96033883094788
12,95.78,10585.190341949463,16007.04,16007.0351882,286.06368,32174.74461404,954.7776,1243.05573581,246.52353978157043
13,95.93,10209.91748046875,17340.96,17340.954743,309.90232,34855.9732346,1034.3424,1346.64362315,267.03610277175903
14,96.0,9876.163946151733,18674.88,18674.8743335,333.74096,37537.2019337,1113.9072,1450.231583675,286.6955919265747
15,96.02,9576.393684387207,20008.8,20008.7938666,357.5796,40218.43050652,1193.472,1553.81942653,305.62314653396606
16,96.25,9306.461486816406,21342.72,21342.7134095,381.41824,42899.6591009,1273.0368,1657.407289475,326.2306671142578
17,96.31,9069.837355613708,22676.64,22676.6329545,405.25688,45580.8876999,1352.6016,1760.995156725,346.08461594581604
18,96.18,8846.354301452637,24010.56,24010.5525149,429.09552,48262.11633278,1432.1664,1864.583055545,365.78323459625244
19,96.29,8641.404960632324,25344.48,25344.472013,452.93416,50943.3448286,1511.7312,1968.17082665,385.5099711418152
20,96.39,8464.890525817871,26678.4,26678.3915601,476.7728,53624.57343222,1591.296,2071.758698205,405.1069121360779
