Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,92.79,3139.5,51.17168,4.268664766084489,9.581067683943623,31.77408790588379
2,94.55,6279.0,102.34336,4.277823467373419,12.347079085346163,63.64886260032654
3,96.04,9418.5,153.51504,4.252661825660913,13.486766065138545,95.14818120002747
4,95.8,12558.0,204.68672,4.25034175541798,9.15165466244537,126.63194155693054
5,96.31,15697.5,255.8584,4.268842529064704,10.526606522873287,157.95032906532288
6,96.32,18837.0,307.03008,4.253303967143448,9.376698201744913,189.69546842575073
7,96.95,21976.5,358.20176,4.238471333728288,9.379505900900648,219.67590188980103
8,96.82,25116.0,409.37344,4.22622480228967,8.874542446183208,252.00455141067505
9,97.07,28255.5,460.54512,4.242056645766082,12.053525961194712,285.18088603019714
10,96.74,31395.0,511.7168,4.228822347145529,14.122592321354917,319.64560103416443
11,96.76,34534.5,562.88848,4.217023868557111,11.139260004655629,351.42069816589355
12,97.08,37674.0,614.06016,4.205509272876425,10.655858131368774,383.2081046104431
13,96.96,40813.5,665.23184,4.213004294258806,14.812158085195872,414.48298478126526
14,97.12,43953.0,716.40352,4.204934048599549,9.55682142741996,446.74355125427246
15,97.33,47092.5,767.5752,4.203409855791871,11.188261872512275,480.3997759819031
16,97.4,50232.0,818.74688,4.205678393368311,14.364846828883373,513.9105274677277
17,97.27,53371.5,869.91856,4.200263365675292,9.442411318906146,547.5613081455231
18,97.07,56511.0,921.09024,4.188424443916609,8.984651582942737,588.4641644954681
19,97.11,59650.5,972.26192,4.1666195783453945,13.423460934447116,628.6509582996368
20,97.39,62790.0,1023.4336,4.148717297391194,8.519321656032844,670.2238297462463
21,97.28,65929.5,1074.60528,4.129246424511226,13.242256532917677,713.8113586902618
22,97.38,69069.0,1125.77696,4.0972539286082945,10.948306802884986,756.8829462528229
23,96.88,72208.5,1176.94864,4.0692555335998675,10.912666231128297,796.2196638584137
24,97.12,75348.0,1228.12032,4.044614388277551,11.960523153690637,836.1527388095856
25,97.11,78487.5,1279.292,4.024499102211946,13.424486694230106,878.8836107254028
