Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,86.1,2005.92,35.82264,13.46749758720398
2,87.9,4011.84,71.64528,26.238270044326782
3,88.36,6017.76,107.46792,39.004422664642334
4,89.46,8023.68,143.29056,51.64725589752197
5,90.32,10029.6,179.1132,64.35528993606567
6,90.6,12035.52,214.93584,76.99598932266235
7,91.46,14041.44,250.75848,89.58827900886536
8,92.06,16047.36,286.58112,102.30268788337708
9,92.48,18053.28,322.40376,114.92250370979309
10,92.86,20059.2,358.2264,127.60423636436462
11,93.16,22065.12,394.04904,140.2002875804901
12,93.3,24071.04,429.87168,152.82368874549866
13,93.82,26076.96,465.69432,165.50507378578186
14,94.12,28082.88,501.51696,178.12908482551575
15,93.94,30088.8,537.3396,190.79090857505798
16,94.28,32094.72,573.16224,203.37982726097107
17,94.4,34100.64,608.98488,216.01176166534424
18,94.58,36106.56,644.80752,228.72665238380432
19,94.62,38112.48,680.63016,241.3556032180786
20,94.82,40118.4,716.4528,254.04830265045166
21,94.8,42124.32,752.27544,266.71326899528503
22,94.94,44130.24,788.09808,279.3430869579315
23,94.94,46136.16,823.92072,292.05846905708313
24,95.24,48142.08,859.74336,304.7033746242523
25,95.18,50148.0,895.566,317.4287180900574
26,95.2,52153.92,931.38864,330.04485511779785
27,95.4,54159.84,967.21128,342.6640315055847
28,95.36,56165.76,1003.03392,355.3875997066498
29,95.58,58171.68,1038.85656,368.0789144039154
30,95.46,60177.6,1074.6792,380.81690073013306
31,95.44,62183.52,1110.50184,393.4764790534973
32,95.5,64189.44,1146.32448,406.1103856563568
33,95.58,66195.36,1182.14712,418.9653036594391
34,95.68,68201.28,1217.96976,431.6090819835663
35,95.64,70207.2,1253.7924,444.3362410068512
36,95.86,72213.12,1289.61504,456.970134973526
37,95.66,74219.04,1325.43768,469.7610740661621
38,95.82,76224.96,1361.26032,482.5043089389801
39,95.74,78230.88,1397.08296,495.1595129966736
40,95.8,80236.8,1432.9056,507.8861620426178
