Epoch,Accuracy,MDL_Total,FLOPs_D(G),FLOPs_S(G),DM_D(GB),DM_S(GB),Bits_D(Gb),Bits_S(Gb),Time_s
1,89.68,35850.55772781372,1199.95776,1195.286708172,18.56958912,2404.287518832,36.67968,73.033139904,6.364407300949097
2,92.18,23720.003135681152,2399.91552,2389.772252776,37.13917824,4806.968619768,73.35936,146.033553728,12.586323976516724
3,93.43,19646.325162887573,3599.87328,3583.85090146,55.70876736,7208.833852896,110.03904,219.017359808,18.764052391052246
4,94.19,17319.804161071777,4799.83104,4777.622298936,74.27835648,9610.083015984,146.71872,291.988624896,24.95720887184143
5,94.69,15712.233522415161,5999.7888,5971.115408976,92.8479456,12010.774182984,183.3984,364.948520256,31.183675289154053
6,94.97,14489.258728027344,7199.74656,7164.355247676,111.41753472,14410.957515048,220.07808,437.898077568,37.49845027923584
7,95.24,13530.407459259033,8399.70432,8357.321477264,129.98712384,16810.592231928,256.75776,510.8364592,43.84886074066162
8,95.51,12741.00039100647,9599.66208,9550.006745072,148.55671296,19209.663591888,293.43744,583.763373952,50.1923131942749
9,95.59,12079.982303619385,10799.61984,10742.427214484,167.12630208,21608.204004336,330.11712,656.679482944,56.49251055717468
10,95.73,11515.735956192017,11999.5776,11934.581064836,185.6958912,24006.209816712,366.7968,729.58469632,62.78667664527893
11,95.86,11025.581198692322,13199.53536,13126.474858212,204.26548032,26403.694191,403.47648,802.479316608,69.1123480796814
12,95.94,10601.081577301025,14399.49312,14318.118288288,222.83506944,28800.676561032,440.15616,875.363715648,75.35465931892395
13,96.05,10217.37106704712,15599.45088,15509.539890412,241.40465856,31197.214141584,476.83584,948.23904608,81.55782914161682
14,96.1,9882.12329673767,16799.40864,16700.72284498,259.97424768,33593.273208384,513.51552,1021.104627392,87.7386486530304
15,96.23,9580.898166656494,17999.3664,17891.65954836,278.5438368,35988.838518312,550.1952,1093.960172736,93.9514672756195
16,96.14,9307.201316833496,19199.32416,19082.346170068,297.11342592,38383.902387816,586.87488,1166.80550144,100.1108946800232
17,96.13,9064.640473365784,20399.28192,20272.79411066,315.68301504,40778.487675408,623.55456,1239.641072704,106.40464615821838
18,96.29,8847.085693359375,21599.23968,21462.988309948,334.25260416,43172.564187768,660.23424,1312.466302976,112.76842141151428
19,96.31,8640.645748138428,22799.19744,22652.93296224,352.82219328,45566.140334256,696.91392,1385.281358208,119.10576272010803
20,96.35,8457.378131866455,23999.1552,23842.601923788,371.3917824,47959.163689464,733.5936,1458.085135104,125.4046037197113
