Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,85.1,2005.92,35.82264,4.1424720287323
2,86.62,4011.84,71.64528,8.205783605575562
3,87.84,6017.76,107.46792,12.253006935119629
4,88.32,8023.68,143.29056,16.270034551620483
5,88.3,10029.6,179.1132,20.33079981803894
6,88.8,12035.52,214.93584,24.34823250770569
7,88.66,14041.44,250.75848,28.361907720565796
8,88.84,16047.36,286.58112,32.431397438049316
9,88.7,18053.28,322.40376,36.485719203948975
10,88.46,20059.2,358.2264,40.51941394805908
11,88.2,22065.12,394.04904,44.527026414871216
12,88.2,24071.04,429.87168,48.591607332229614
13,88.16,26076.96,465.69432,52.61679148674011
14,88.38,28082.88,501.51696,56.64926719665527
15,88.18,30088.8,537.3396,60.70953965187073
16,88.54,32094.72,573.16224,64.70547914505005
17,88.48,34100.64,608.98488,68.7171642780304
18,88.66,36106.56,644.80752,72.77441644668579
19,88.44,38112.48,680.63016,76.79280519485474
20,88.94,40118.4,716.4528,80.84772944450378
21,88.36,42124.32,752.27544,84.87023901939392
22,88.72,44130.24,788.09808,88.92384481430054
23,88.38,46136.16,823.92072,92.93132424354553
24,88.3,48142.08,859.74336,96.93984818458557
25,88.84,50148.0,895.566,101.00418996810913
26,88.26,52153.92,931.38864,105.06450080871582
27,88.64,54159.84,967.21128,109.0931122303009
28,88.6,56165.76,1003.03392,113.15558362007141
29,88.92,58171.68,1038.85656,117.17410230636597
30,88.7,60177.6,1074.6792,121.21014857292175
31,88.24,62183.52,1110.50184,125.27153205871582
32,88.4,64189.44,1146.32448,129.34415483474731
33,88.82,66195.36,1182.14712,133.3425965309143
34,89.1,68201.28,1217.96976,137.37158346176147
35,89.12,70207.2,1253.7924,141.43677830696106
36,89.34,72213.12,1289.61504,145.4680688381195
37,89.34,74219.04,1325.43768,149.48915815353394
38,89.7,76224.96,1361.26032,153.55270385742188
39,89.7,78230.88,1397.08296,157.57609701156616
40,89.94,80236.8,1432.9056,161.61382675170898
