Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,89.66,3139.5,51.17168,4.257274436283573,8.819354999464338,23.084765195846558
2,90.75,6279.0,102.34336,4.337159372553707,9.692162130217032,45.555765867233276
3,91.95,9418.5,153.51504,4.357764239212383,10.040499010625306,68.15075445175171
4,92.56,12558.0,204.68672,4.441648356461004,9.302341673710192,92.47015142440796
5,92.99,15697.5,255.8584,4.463311704578073,8.653093256626079,117.30614447593689
6,93.05,18837.0,307.03008,4.492726962264427,12.850011044571355,142.77494430541992
7,94.07,21976.5,358.20176,4.43463147605941,10.975827975132681,168.43157815933228
8,91.75,25116.0,409.37344,4.3953395448824715,11.923871287244117,193.81124019622803
9,93.11,28255.5,460.54512,4.383179452767039,10.377653390220724,219.2484655380249
10,94.23,31395.0,511.7168,4.380910062208002,11.516426948407867,244.9189612865448
11,94.06,34534.5,562.88848,4.358087163136506,16.470444096437397,270.15716910362244
12,93.76,37674.0,614.06016,4.324871503159496,8.693508467680173,296.1009364128113
13,91.59,40813.5,665.23184,4.268386426667721,11.032457576022004,322.7695953845978
14,93.95,43953.0,716.40352,4.2171411648701564,12.94689918155537,347.97781348228455
15,90.43,47092.5,767.5752,4.1761691173151165,12.083003120207948,375.3114478588104
16,94.03,50232.0,818.74688,4.141840589120764,12.94870381878809,402.2026438713074
17,93.43,53371.5,869.91856,4.11061103351248,9.358384646578687,428.0707576274872
18,92.88,56511.0,921.09024,4.084801368713342,11.762582442883817,455.7697603702545
19,91.82,59650.5,972.26192,4.069034397994575,13.614930542593887,482.83059763908386
20,92.45,62790.0,1023.4336,4.05674086376917,11.39104245266077,510.0615339279175
21,91.38,65929.5,1074.60528,4.044538629355422,11.880299223616118,538.4207563400269
22,92.31,69069.0,1125.77696,4.022510092866222,11.873056950450565,565.8667480945587
23,93.54,72208.5,1176.94864,4.004626529873556,10.711527535332678,592.7613704204559
24,93.81,75348.0,1228.12032,3.964654431787315,13.9712567390439,619.3963344097137
25,93.24,78487.5,1279.292,3.864998935052494,12.530518144482475,646.5124723911285
