Epoch,Accuracy,MDL_Total,FLOPs_D(G),FLOPs_S(G),DM_D(GB),DM_S(GB),Bits_D(Gb),Bits_S(Gb),Time_s
1,86.62,35163.97049713135,2005.92,2005.906833,35.82264,4031.92307322,106.4448,138.026824005,5.387329816818237
2,91.12,21305.452741622925,4011.84,4011.8154916,71.64528,8063.84981878,212.8896,276.053864695,10.554854393005371
3,92.72,16656.750270843506,6017.76,6017.7288577,107.46792,12095.78600356,319.3344,414.08115364,16.172523260116577
4,93.66,14307.03002357483,8023.68,8023.6432997,143.29056,16127.72435876,425.7792,552.10863344,21.76072931289673
5,94.26,12824.887308120728,10029.6,10029.5592481,179.1132,20159.66572774,532.224,690.136123285,27.40678119659424
6,94.22,11793.41178894043,12035.52,12035.4754261,214.93584,24191.60755816,638.6688,828.16363609,33.05037975311279
7,94.86,11031.49305152893,14041.44,14041.3924441,250.75848,28223.55107824,745.1136,966.19124791,38.62038612365723
8,95.04,10424.859704971313,16047.36,16047.3091933,286.58112,32255.4940561,851.5584,1104.218812375,44.29041290283203
9,95.26,9953.42476272583,18053.28,18053.2264199,322.40376,36287.43799142,958.0032,1242.246404105,50.64514422416687
10,95.36,9533.056253433228,20059.2,20059.143664,358.2264,40319.38195978,1064.448,1380.273975745,56.960498094558716
11,95.4,9202.507134437561,22065.12,22065.0615108,394.04904,44351.32713942,1170.8928,1518.301607655,63.36095118522644
12,95.3,8911.216101646423,24071.04,24070.9792638,429.87168,48383.27212908,1277.3376,1656.32921517,69.69855737686157
13,95.56,8665.45784664154,26076.96,26076.8971379,465.69432,52415.21736332,1383.7824,1794.35684708,75.97884774208069
14,95.46,8447.115267753601,28082.88,28082.8154544,501.51696,56447.16347802,1490.2272,1932.384434505,82.30463695526123
15,95.74,8259.140993118286,30088.8,30088.7337002,537.3396,60479.10945356,1596.672,2070.41204489,88.64093565940857
16,95.56,8078.07183265686,32094.72,32094.6522554,573.16224,64511.05605518,1703.1168,2208.439729895,94.59566116333008
17,95.76,7921.173752784729,34100.64,34100.5703885,608.98488,68543.00179916,1809.5616,2346.46727714,100.1924238204956
18,95.92,7783.969784736633,36106.56,36106.4889353,644.80752,72574.94837138,1916.0064,2484.494832995,105.88873386383057
19,95.92,7663.250350952148,38112.48,38112.4073288,680.63016,76606.8946391,2022.4512,2622.522410375,111.49752020835876
20,96.02,7545.3002071380615,40118.4,40118.3256978,716.4528,80638.84085838,2128.896,2760.549993495,117.06603813171387
