Epoch,Accuracy,Raw_Gen_Abs,Raw_Disc_Abs,Weighted_Gen_Loss,Weighted_Disc_Loss,Time_s
1,86.06,515.3231934488932,1.7877852845668794,2.425625216929118,0.25805642153422037,4.750817775726318
2,87.84,388.50940755208336,1.6020222744782766,1.360874547704061,0.1935311387379964,9.39151906967163
3,88.46,330.6717595703125,1.539496620551745,0.9769747351328532,0.18019939999580384,13.955044031143188
4,89.1,294.9201042236328,1.5175803818066915,0.7675467962900797,0.1747494802792867,18.51948118209839
5,89.08,269.7218392659505,1.5130089479287465,0.6369186895370483,0.17213871011734008,23.229915380477905
6,88.58,250.51672930501303,1.5145660053650538,0.5484396563212077,0.1707355693658193,27.82352924346924
7,89.04,235.34181278889974,1.5173159876108169,0.4849111038843791,0.1696017830848694,32.46513628959656
8,89.22,222.9376107014974,1.5221873158613841,0.43714946606953936,0.16894322406450907,37.035027742385864
9,88.94,212.50088056640624,1.5266018768866856,0.3998081122080485,0.1683223168373108,41.71229267120361
10,89.0,203.59972448730468,1.5308324292063713,0.369888005956014,0.1677461167494456,46.2566876411438
11,88.7,195.92523529459635,1.5347311858495076,0.3454475620905558,0.16735592199961344,50.857595920562744
12,88.78,189.21473075764973,1.5391087087869644,0.3251246279080709,0.1668623552640279,55.48142671585083
13,89.1,183.25914812011717,1.5429823227564494,0.3079415550867716,0.1664210800965627,60.098628520965576
14,89.08,177.95822427978516,1.5469156541029612,0.2932654755274455,0.1661622462908427,64.62435936927795
15,88.64,173.19011201985677,1.5515530707995098,0.2805999982833862,0.16584084825515746,69.17166090011597
16,88.42,168.908380464681,1.554990184187889,0.2695566862742106,0.16549998416900635,73.76684546470642
17,88.8,165.00736658935546,1.5580344697475432,0.2598290303866069,0.16500037965774536,78.34255981445312
18,88.32,161.46478471272786,1.5627397835890453,0.2512304757436117,0.1647356636683146,82.95053243637085
19,88.78,158.24042391764323,1.5663369513670604,0.24358901414871215,0.16433539315859477,87.58541178703308
20,88.24,155.26856782226562,1.5693890128771464,0.2367407506306966,0.16389780430793763,92.32654929161072
21,88.6,152.47889548339845,1.5715506312529246,0.23050821822484335,0.16336597901980082,96.52399682998657
22,88.86,149.93218264160157,1.574026780819893,0.22493998107910157,0.1627248162905375,100.49229073524475
23,88.78,147.58601726074218,1.5768330665747325,0.21987728719711302,0.1621373435497284,104.48056077957153
24,88.92,145.42055974934897,1.5767663097222646,0.21529181874593098,0.1612658664226532,108.48954033851624
25,89.08,143.38360369873047,1.579601832485199,0.2111223015467326,0.16062175245285035,112.45624113082886
26,88.98,141.49526855061848,1.5796549651622773,0.20733119910558065,0.1595449104944865,116.41300559043884
27,88.74,139.78368069254557,1.5775622654596964,0.20394781948725382,0.1583207363764445,120.37335014343262
28,89.16,138.20882310180664,1.5764674207528433,0.20088619445164999,0.15701151019732157,124.39122700691223
29,89.5,136.72662494913737,1.5729803376197815,0.19810012102127075,0.15548503546714781,128.36153101921082
30,89.1,135.31446233723958,1.5706532165845235,0.19553861735661823,0.15392306121190388,132.32947516441345
31,89.56,134.13801486409506,1.5654487643798192,0.1933682051340739,0.15219972979227703,136.34996390342712
32,89.58,132.94696920979817,1.5603088245868684,0.19128251349131267,0.15029804426829022,140.31419348716736
33,89.48,131.86282890218098,1.5523728045543035,0.1894246364593506,0.14807842461268106,144.28304886817932
34,89.64,130.79546231282552,1.5449584000905354,0.18768392769495645,0.1460026536623637,148.24599266052246
35,89.6,129.89717003173828,1.5383488910118739,0.18619682601292928,0.14381821869214376,152.28694677352905
36,89.98,129.01810709228516,1.5290236040671668,0.1848101942062378,0.14139880809783936,156.26940655708313
37,89.84,128.20769862060547,1.5202788051605225,0.18353440923690795,0.13915771876970928,160.2418565750122
38,89.94,127.4332540669759,1.511211853424708,0.18234130792617798,0.1367622538884481,164.2042419910431
39,90.38,126.74584173990885,1.5015354290723801,0.181300275739034,0.13440450582504274,168.2411606311798
40,90.58,126.05806392618815,1.4910806893189748,0.1803050260543823,0.13194162470499674,172.22153759002686
