Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,86.64,2005.92,35.82264,23.596065044403076
2,89.08,4011.84,71.64528,46.14366054534912
3,90.26,6017.76,107.46792,67.95603346824646
4,90.5,8023.68,143.29056,93.10495710372925
5,91.7,10029.6,179.1132,119.88825416564941
6,92.22,12035.52,214.93584,144.91280508041382
7,92.52,14041.44,250.75848,169.35103821754456
8,93.2,16047.36,286.58112,193.73587226867676
9,93.54,18053.28,322.40376,217.9150402545929
10,93.54,20059.2,358.2264,243.15484642982483
11,94.02,22065.12,394.04904,268.8285050392151
12,94.24,24071.04,429.87168,291.37743616104126
13,94.58,26076.96,465.69432,324.67829966545105
14,94.66,28082.88,501.51696,358.00207448005676
15,94.88,30088.8,537.3396,390.262939453125
16,95.06,32094.72,573.16224,423.6120026111603
17,95.1,34100.64,608.98488,456.0708773136139
18,95.34,36106.56,644.80752,488.3456268310547
19,95.42,38112.48,680.63016,522.072592496872
20,95.54,40118.4,716.4528,550.1512920856476
21,95.56,42124.32,752.27544,577.9847354888916
22,95.72,44130.24,788.09808,608.3881134986877
23,95.64,46136.16,823.92072,639.4494712352753
24,95.8,48142.08,859.74336,670.3563809394836
25,95.88,50148.0,895.566,702.8953213691711
