Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,86.26,2005.92,35.82264,12.462149858474731
2,88.48,4011.84,71.64528,24.931833744049072
3,89.3,6017.76,107.46792,37.452494382858276
4,90.04,8023.68,143.29056,49.87307262420654
5,90.8,10029.6,179.1132,62.34585618972778
6,91.46,12035.52,214.93584,74.87662267684937
7,91.94,14041.44,250.75848,87.31990122795105
8,92.5,16047.36,286.58112,99.76038861274719
9,92.94,18053.28,322.40376,112.31686019897461
10,93.2,20059.2,358.2264,124.74722933769226
11,93.34,22065.12,394.04904,137.17109084129333
12,93.7,24071.04,429.87168,149.68071055412292
13,93.96,26076.96,465.69432,162.1597936153412
14,94.12,28082.88,501.51696,174.68136620521545
15,94.12,30088.8,537.3396,187.11578798294067
16,94.3,32094.72,573.16224,199.56479287147522
17,94.38,34100.64,608.98488,212.10229015350342
18,94.66,36106.56,644.80752,224.4997594356537
19,94.6,38112.48,680.63016,236.8943932056427
20,94.9,40118.4,716.4528,249.37972164154053
21,95.02,42124.32,752.27544,261.8351786136627
22,94.96,44130.24,788.09808,274.2445476055145
23,95.22,46136.16,823.92072,286.7310383319855
24,95.02,48142.08,859.74336,299.1600749492645
25,95.18,50148.0,895.566,311.5988345146179
