Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,95.62,3139.5,51.17168,4.19815802779252,10.448427116884677,23.169869661331177
2,96.62,6279.0,102.34336,4.171894945565296,10.420590926916928,45.316855669021606
3,97.21,9418.5,153.51504,4.207941578347785,10.132193926619994,67.21012806892395
4,97.33,12558.0,204.68672,4.273329119830285,10.263562845022747,90.06973648071289
5,97.59,15697.5,255.8584,4.3454589593626665,10.542249325228068,115.2779529094696
6,97.29,18837.0,307.03008,4.248436953019127,12.818802971338421,139.15752410888672
7,97.58,21976.5,358.20176,4.134049538710628,11.232724978334248,163.74631071090698
8,97.58,25116.0,409.37344,4.043436911632296,11.214676096757405,187.39785528182983
9,97.42,28255.5,460.54512,3.977678189434305,8.920029459058778,211.02853846549988
10,97.86,31395.0,511.7168,3.922883235682542,10.36084447854443,235.45306634902954
