Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,89.88,3139.5,51.17168,4.242451493415855,9.327256453164177,22.652299880981445
2,91.41,6279.0,102.34336,4.314394090143339,8.084709431756862,45.899752616882324
3,88.61,9418.5,153.51504,4.3911867300662415,10.949751618684916,68.5148811340332
4,92.33,12558.0,204.68672,4.470824356187504,9.991747995601472,91.43683457374573
5,92.51,15697.5,255.8584,4.4227788580902425,12.011634747621814,113.73922157287598
6,91.25,18837.0,307.03008,4.391176557509471,12.233070645674987,140.63504457473755
7,93.99,21976.5,358.20176,4.38464073054662,9.809461398100087,170.4833629131317
8,93.28,25116.0,409.37344,4.39011966897395,11.409571621223693,199.23446488380432
9,94.41,28255.5,460.54512,4.377704851421998,9.801090146201851,232.92066359519958
10,93.16,31395.0,511.7168,4.366431911847464,10.442440839482511,263.2711215019226
11,93.54,34534.5,562.88848,4.32534268748247,12.364918487072904,293.9206118583679
12,93.31,37674.0,614.06016,4.265089892260884,11.26410697601596,328.1441524028778
13,91.95,40813.5,665.23184,4.2041281865649065,12.691044777925839,356.3039393424988
14,91.52,43953.0,716.40352,4.114380664874434,10.657427172538457,389.95722913742065
15,94.2,47092.5,767.5752,4.034488320208697,9.909160796965757,420.362282037735
16,93.09,50232.0,818.74688,3.9634618405882014,8.917541258710928,450.3355886936188
17,92.96,53371.5,869.91856,3.901342570170893,8.601992465906257,477.63532543182373
18,93.32,56511.0,921.09024,3.8435979690437314,13.138019947262222,510.27916073799133
19,93.22,59650.5,972.26192,3.7865790367386993,13.335192197729334,543.500474691391
20,93.58,62790.0,1023.4336,3.6785070219181755,10.289941133977761,577.4056262969971
21,93.25,65929.5,1074.60528,3.56253467663879,10.479624834635873,611.157639503479
22,93.39,69069.0,1125.77696,3.4594171386557444,12.822167229417312,645.8356010913849
23,94.09,72208.5,1176.94864,3.373426292356928,10.368575654030108,677.0843322277069
24,93.84,75348.0,1228.12032,3.3010989881933237,9.180508570753794,708.1267273426056
25,93.76,78487.5,1279.292,3.246747275545961,13.267074466259585,740.0240910053253
