Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,87.47,3139.5,51.17168,4.300992385595783,8.677418520621858,23.81588053703308
2,88.83,6279.0,102.34336,4.49342733945855,9.543108447951168,51.81403422355652
3,88.91,9418.5,153.51504,4.421008833549616,9.445851986075022,83.28677654266357
4,89.38,12558.0,204.68672,4.5312415493139735,10.249596484990219,113.27460598945618
5,89.26,15697.5,255.8584,4.493913560044019,8.500420835587146,144.68106055259705
6,88.92,18837.0,307.03008,4.4239454452311575,10.926118779585764,176.1145167350769
7,88.64,21976.5,358.20176,4.417549941031765,11.063712433436077,208.40561079978943
8,88.93,25116.0,409.37344,4.366143635486795,8.727377749359096,242.9463107585907
9,88.05,28255.5,460.54512,4.360822532924859,10.492794763088979,267.0451240539551
10,88.05,31395.0,511.7168,4.3147697346941305,11.487908407962921,291.09393525123596
11,86.61,34534.5,562.88848,4.204557579344499,10.68992623300375,315.4378151893616
12,85.39,37674.0,614.06016,4.10952467629746,15.956216029756147,339.84748220443726
13,86.16,40813.5,665.23184,4.0191247163914054,15.004301708413212,363.46732234954834
14,86.39,43953.0,716.40352,3.945127639430855,11.948516848993687,387.3599944114685
15,85.2,47092.5,767.5752,3.786840037325032,10.808953102233328,411.29631185531616
16,81.68,50232.0,818.74688,3.8217980599778882,12.554909529784767,435.2349548339844
17,87.02,53371.5,869.91856,3.8391258760737124,10.82494266441658,459.11382484436035
18,85.69,56511.0,921.09024,3.8225063974905633,12.879287919733521,484.07625675201416
19,86.03,59650.5,972.26192,3.716910304104882,14.919268738483002,507.8671224117279
20,85.9,62790.0,1023.4336,3.59981084755301,11.004423226623002,531.9766035079956
21,86.15,65929.5,1074.60528,3.5042918603264654,11.498427990419767,556.519603729248
22,85.39,69069.0,1125.77696,3.6092791559897948,12.403909935332226,580.9006321430206
23,81.95,72208.5,1176.94864,3.5579588694695388,13.635816945761,605.4757251739502
24,86.05,75348.0,1228.12032,3.544258342877787,12.251005015640148,630.2511641979218
25,87.27,78487.5,1279.292,3.4902184261888207,12.49201975198407,654.1870894432068
