Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,95.71,3139.5,51.17168,4.282697943654824,9.331323632634128,23.27592372894287
2,96.74,6279.0,102.34336,4.196390437958552,10.680904123678655,45.46475625038147
3,96.84,9418.5,153.51504,4.103868801049016,9.759504065118213,67.92030835151672
4,97.17,12558.0,204.68672,4.073109313900515,10.804754855266642,92.29321384429932
5,97.07,15697.5,255.8584,4.072616054173245,12.555010999056796,118.29169178009033
6,97.31,18837.0,307.03008,4.08548989692381,8.345711875530958,144.19176363945007
7,97.61,21976.5,358.20176,4.082861240210702,8.531198450908484,169.5552740097046
8,97.79,25116.0,409.37344,4.070237446009069,10.422986909898455,198.99547815322876
9,97.67,28255.5,460.54512,4.066734810294829,12.773554749931781,227.12343525886536
10,97.68,31395.0,511.7168,4.034593188259492,11.97078017058695,254.8017909526825
11,97.82,34534.5,562.88848,4.009987366232386,10.707210543668097,280.6726634502411
12,97.68,37674.0,614.06016,3.9845438062630003,12.760167312183738,305.3432080745697
13,97.83,40813.5,665.23184,3.9567078371828406,7.851467148278268,329.764360666275
14,97.78,43953.0,716.40352,3.9047044267913638,9.816452201859748,353.49331402778625
15,97.82,47092.5,767.5752,3.8529739747188647,12.698494971076233,377.2480945587158
16,97.88,50232.0,818.74688,3.8174430349792483,9.529810421866898,400.55994415283203
17,97.84,53371.5,869.91856,3.768669669613683,10.763254183129117,423.7208433151245
18,97.83,56511.0,921.09024,3.726877682943499,10.460770526807773,447.7483127117157
19,97.63,59650.5,972.26192,3.6917820524759293,11.852422880413227,471.0186095237732
20,97.88,62790.0,1023.4336,3.64479210994163,10.204612715086649,494.6847643852234
21,97.81,65929.5,1074.60528,3.6057046278718268,11.267138899462445,518.1216509342194
22,97.89,69069.0,1125.77696,3.568630509943422,11.768585877093129,541.9841248989105
23,98.12,72208.5,1176.94864,3.5258705465703266,12.009382043395423,565.5577712059021
24,97.98,75348.0,1228.12032,3.4855355041743747,9.82075954346378,589.1985623836517
25,97.98,78487.5,1279.292,3.4455874922177476,12.763924229659123,613.190101146698
