Epoch,Accuracy,MDL_Total,MDL_Data,MDL_Model,Total_G_FPO,Total_GB_Data,Time_s
1,87.2,35101.55866241455,34701.68647003174,399.8721923828125,2005.92,35.82264,4.945513725280762
2,91.4,21167.239822387695,20747.136795043945,420.10302734375,4011.84,71.64528,9.801712989807129
3,92.84,16578.6261138916,16131.810073852539,446.8160400390625,6017.76,107.46792,14.808118343353271
4,93.72,14229.960388183594,13754.857696533203,475.1026916503906,8023.68,143.29056,19.833527326583862
5,94.42,12768.942464828491,12266.11159324646,502.83087158203125,10029.6,179.1132,24.769792318344116
6,94.62,11747.679992675781,11217.896179199219,529.7838134765625,12035.52,214.93584,29.81180477142334
7,94.8,10978.22696685791,10421.897315979004,556.3296508789062,14041.44,250.75848,35.1977653503418
8,95.12,10375.13949584961,9792.711334228516,582.4281616210938,16047.36,286.58112,40.65073323249817
9,95.6,9892.329859733582,9283.932826042175,608.3970336914062,18053.28,322.40376,45.987189531326294
10,95.54,9496.367700576782,8862.36709022522,634.0006103515625,20059.2,358.2264,51.4113495349884
11,95.58,9149.789605140686,8490.478875160217,659.3107299804688,22065.12,394.04904,56.794147968292236
12,95.76,8864.882678985596,8180.455860137939,684.4268188476562,24071.04,429.87168,62.19027066230774
13,96.16,8609.267430305481,7900.062596321106,709.204833984375,26076.96,465.69432,67.5541479587555
14,95.76,8403.1280002594,7669.287851333618,733.8401489257812,28082.88,501.51696,72.89869165420532
15,95.92,8203.232653617859,7445.082751274109,758.14990234375,30088.8,537.3396,78.29802012443542
16,96.18,8035.738139152527,7253.653117179871,782.0850219726562,32094.72,573.16224,83.68764805793762
17,96.12,7880.945449829102,7075.374710083008,805.5707397460938,34100.64,608.98488,89.03445243835449
18,96.12,7734.639540672302,6905.920790672302,828.71875,36106.56,644.80752,94.6900405883789
19,96.24,7620.549518585205,6768.930500030518,851.6190185546875,38112.48,680.63016,100.50566840171814
20,96.26,7506.115684509277,6632.048179626465,874.0675048828125,40118.4,716.4528,106.36282110214233
