Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,95.11,3139.5,51.17168,4.1881228794321235,11.75315319442836,34.82743453979492
2,96.39,6279.0,102.34336,4.218032031482345,12.365830768299805,67.49052143096924
3,96.47,9418.5,153.51504,4.183419129054177,9.398172889199898,99.984041929245
4,97.25,12558.0,204.68672,4.236373600928887,11.257939237838535,134.06835651397705
5,97.21,15697.5,255.8584,4.300362114378121,12.179005630421845,167.7740020751953
6,97.58,18837.0,307.03008,4.214798066175028,9.454119400434983,200.94238185882568
7,97.59,21976.5,358.20176,4.153927307068424,11.74719427930137,234.78566455841064
8,97.37,25116.0,409.37344,4.122571362539925,11.897123999311015,268.44731616973877
9,97.53,28255.5,460.54512,4.037487071476221,14.60742856147805,307.75914764404297
10,97.54,31395.0,511.7168,3.9859732434016832,14.834761261301887,340.499240398407
