Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,90.44,1333.92,23.83864,3.727376699447632
2,92.8,2667.84,47.67728,7.3286755084991455
3,94.2,4001.76,71.51592,10.899493217468262
4,94.76,5335.68,95.35456,14.498229742050171
5,95.16,6669.6,119.1932,18.107365131378174
6,95.42,8003.52,143.03184,21.67007040977478
7,95.8,9337.44,166.87048,25.245166301727295
8,95.8,10671.36,190.70912,28.808918476104736
9,96.14,12005.28,214.54776,32.44734740257263
10,96.28,13339.2,238.3864,36.04101634025574
11,96.28,14673.12,262.22504,39.62436819076538
12,96.4,16007.04,286.06368,43.263304233551025
13,96.5,17340.96,309.90232,46.86315131187439
14,96.6,18674.88,333.74096,50.44358801841736
15,96.68,20008.8,357.5796,54.03437638282776
16,96.7,21342.72,381.41824,57.65895223617554
17,96.8,22676.64,405.25688,61.251930713653564
18,96.9,24010.56,429.09552,64.81805419921875
19,96.8,25344.48,452.93416,68.42992234230042
20,96.96,26678.4,476.7728,72.01867985725403
