Epoch,Accuracy,MDL_Total,MDL_Data,MDL_Model,Total_G_FPO,Total_GB_Data,Time_s
1,86.44,35058.00827407837,34657.64142227173,400.3668518066406,2005.92,35.82264,6.185027122497559
2,90.68,21243.18010520935,20822.680471420288,420.4996337890625,4011.84,71.64528,12.196731328964233
3,92.14,16668.087558746338,16221.007053375244,447.08050537109375,6017.76,107.46792,18.224284172058105
4,92.7,14284.051588058472,13808.96259880066,475.0889892578125,8023.68,143.29056,24.19877338409424
5,93.34,12789.924034118652,12287.430137634277,502.493896484375,10029.6,179.1132,30.291980504989624
6,93.54,11742.766078948975,11213.526943206787,529.2391357421875,12035.52,214.93584,36.226670265197754
7,94.0,10970.061658859253,10414.52442741394,555.5372314453125,14041.44,250.75848,42.16643500328064
8,94.12,10364.568630218506,9783.081813812256,581.48681640625,16047.36,286.58112,48.21493864059448
9,94.4,9873.095058441162,9265.90450668335,607.1905517578125,18053.28,322.40376,54.14018774032593
10,94.58,9467.852947235107,8835.243328094482,632.609619140625,20059.2,358.2264,59.62320256233215
11,94.8,9127.870948791504,8470.109230041504,657.76171875,22065.12,394.04904,65.01349258422852
12,94.8,8835.266661643982,8152.684630393982,682.58203125,24071.04,429.87168,70.57645559310913
13,94.98,8583.402536392212,7876.242258071899,707.1602783203125,26076.96,465.69432,76.07306003570557
14,94.8,8372.774021148682,7641.322788238525,731.4512329101562,28082.88,501.51696,81.56193423271179
15,95.2,8172.922618865967,7417.558422088623,755.3641967773438,30088.8,537.3396,87.15053629875183
16,95.16,8004.145833969116,7225.1576137542725,778.9882202148438,32094.72,573.16224,92.6996488571167
17,95.44,7853.270221710205,7050.933917999268,802.3363037109375,34100.64,608.98488,98.2695095539093
18,95.3,7717.996465682983,6892.760320663452,825.2361450195312,36106.56,644.80752,103.90497875213623
19,95.22,7605.332589149475,6757.509896278381,847.8226928710938,38112.48,680.63016,109.59348750114441
20,95.38,7483.290844917297,6613.336743354797,869.9541015625,40118.4,716.4528,115.05430293083191
21,95.5,7375.888315200806,6484.214914321899,891.6734008789062,42124.32,752.27544,120.48460793495178
22,95.5,7295.243478775024,6382.090768814087,913.1527099609375,44130.24,788.09808,125.91481232643127
23,95.48,7204.732962608337,6270.713858604431,934.0191040039062,46136.16,823.92072,131.49362206459045
24,95.74,7121.967305183411,6167.441548347473,954.5257568359375,48142.08,859.74336,137.0167396068573
25,95.76,7060.0472049713135,6085.332666397095,974.7145385742188,50148.0,895.566,142.5966727733612
26,95.74,6980.606935501099,5986.28106880188,994.3258666992188,52153.92,931.38864,148.11199712753296
27,95.7,6933.081211090088,5919.457736968994,1013.6234741210938,54159.84,967.21128,153.59153985977173
28,95.72,6859.626835823059,5827.280644416809,1032.34619140625,56165.76,1003.03392,159.01125836372375
29,95.9,6823.594833374023,5772.595321655273,1050.99951171875,58171.68,1038.85656,164.5993082523346
30,95.82,6761.212084770203,5692.095141410828,1069.116943359375,60177.6,1074.6792,170.12844038009644
31,95.82,6717.201759338379,5630.458106994629,1086.74365234375,62183.52,1110.50184,175.6058976650238
32,96.0,6659.366430282593,5555.393041610718,1103.973388671875,64189.44,1146.32448,181.13595175743103
33,95.92,6629.976629257202,5509.111516952515,1120.8651123046875,66195.36,1182.14712,186.6132254600525
34,96.04,6579.436086177826,5442.039601802826,1137.396484375,68201.28,1217.96976,192.17046642303467
35,96.02,6550.1188678741455,5396.4628620147705,1153.656005859375,70207.2,1253.7924,198.02831625938416
36,96.1,6500.782559394836,5331.247159004211,1169.535400390625,72213.12,1289.61504,203.836975812912
37,96.06,6472.453899383545,5287.278484344482,1185.1754150390625,74219.04,1325.43768,209.5583074092865
