Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,85.14,2005.92,35.82264,4.287084341049194
2,87.4,4011.84,71.64528,8.4322350025177
3,88.04,6017.76,107.46792,12.64480447769165
4,87.96,8023.68,143.29056,16.762048959732056
5,88.5,10029.6,179.1132,20.87033438682556
6,88.36,12035.52,214.93584,25.02979564666748
7,88.16,14041.44,250.75848,29.059069871902466
8,88.78,16047.36,286.58112,33.02047038078308
9,88.1,18053.28,322.40376,37.03321385383606
10,88.62,20059.2,358.2264,40.99606513977051
11,87.86,22065.12,394.04904,44.97069215774536
12,88.6,24071.04,429.87168,48.937013387680054
13,88.14,26076.96,465.69432,52.94450783729553
14,87.54,28082.88,501.51696,56.905439615249634
15,87.92,30088.8,537.3396,60.87635278701782
16,87.9,32094.72,573.16224,64.97425889968872
17,87.6,34100.64,608.98488,69.13789463043213
18,88.18,36106.56,644.80752,73.26213598251343
19,88.04,38112.48,680.63016,77.33947324752808
20,88.14,40118.4,716.4528,81.4107596874237
21,88.28,42124.32,752.27544,85.55611300468445
22,88.08,44130.24,788.09808,89.68871188163757
23,87.88,46136.16,823.92072,93.79719495773315
24,88.44,48142.08,859.74336,97.9611144065857
25,88.54,50148.0,895.566,102.07446813583374
26,88.54,52153.92,931.38864,106.15918803215027
27,88.78,54159.84,967.21128,110.26794290542603
28,88.96,56165.76,1003.03392,114.29953074455261
29,88.68,58171.68,1038.85656,118.27981066703796
30,88.6,60177.6,1074.6792,122.26217603683472
31,88.8,62183.52,1110.50184,126.25377821922302
32,88.84,64189.44,1146.32448,130.2668492794037
33,89.02,66195.36,1182.14712,134.2356677055359
34,89.34,68201.28,1217.96976,138.20796370506287
35,89.56,70207.2,1253.7924,142.20162630081177
36,89.48,72213.12,1289.61504,146.2119436264038
37,89.48,74219.04,1325.43768,150.2869372367859
38,89.72,76224.96,1361.26032,154.3544716835022
39,89.62,78230.88,1397.08296,158.45349597930908
40,90.16,80236.8,1432.9056,162.49603509902954
