Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,87.16,2005.92,35.82264,22.761874675750732
2,88.3,4011.84,71.64528,45.41028380393982
3,89.32,6017.76,107.46792,69.26884245872498
4,90.12,8023.68,143.29056,91.82091760635376
5,91.4,10029.6,179.1132,114.13094735145569
6,91.66,12035.52,214.93584,137.67687797546387
7,92.06,14041.44,250.75848,161.09438514709473
8,92.56,16047.36,286.58112,184.82783961296082
9,93.32,18053.28,322.40376,208.11294412612915
10,93.7,20059.2,358.2264,232.7118797302246
11,93.74,22065.12,394.04904,258.2292516231537
12,94.14,24071.04,429.87168,276.5961694717407
13,94.38,26076.96,465.69432,293.6708800792694
14,94.44,28082.88,501.51696,314.35121750831604
15,94.6,30088.8,537.3396,332.7962975502014
16,94.9,32094.72,573.16224,349.4270861148834
17,94.98,34100.64,608.98488,365.70086216926575
18,95.14,36106.56,644.80752,383.08143973350525
19,95.4,38112.48,680.63016,399.8859701156616
20,95.34,40118.4,716.4528,418.7753357887268
21,95.5,42124.32,752.27544,438.63973021507263
22,95.52,44130.24,788.09808,458.85800981521606
23,95.5,46136.16,823.92072,478.4228184223175
24,95.84,48142.08,859.74336,494.68014311790466
25,95.86,50148.0,895.566,510.78003692626953
