Epoch,Accuracy,Avg_Gen_Error,Avg_Disc_Error,Total_G_FPO,Total_GB_Data,Time_s
1,84.92,2.4083039370218913,0.25828756001790365,2005.92,35.82264,4.523116111755371
2,87.66,1.3528607238769532,0.19428011124928793,4011.84,71.64528,8.986928701400757
3,87.9,0.9709891702016195,0.18138219137191772,6017.76,107.46792,13.126379013061523
4,88.58,0.7625764244715373,0.17610446112950642,8023.68,143.29056,17.19947338104248
5,88.52,0.6333312327067058,0.1735962250073751,10029.6,179.1132,21.346245765686035
6,88.7,0.5459167785644531,0.17235242516199747,12035.52,214.93584,25.358367919921875
7,88.86,0.4828633193333944,0.171685906457901,14041.44,250.75848,29.396278619766235
8,88.06,0.4353927120844523,0.17104247420628865,16047.36,286.58112,33.45527529716492
9,87.86,0.3983370569864909,0.17083469518025715,18053.28,322.40376,37.629130840301514
10,88.14,0.36866258182525635,0.1704757487932841,20059.2,358.2264,41.90192174911499
11,88.08,0.3444076274236043,0.17001511249542237,22065.12,394.04904,46.14074897766113
12,87.68,0.3243016007105509,0.16976291397412618,24071.04,429.87168,50.382304191589355
13,87.74,0.3073854522705078,0.1695832861741384,26076.96,465.69432,54.693857192993164
14,88.02,0.2929071069399516,0.16899196739196778,28082.88,501.51696,58.93594288825989
15,87.94,0.280428372891744,0.16853824083010355,30088.8,537.3396,63.23757791519165
16,87.82,0.26957971277236936,0.16790038383801778,32094.72,573.16224,67.5172164440155
17,88.02,0.26007414496739706,0.16737502260208129,34100.64,608.98488,71.74287247657776
18,87.34,0.25168726329803465,0.1664525279680888,36106.56,644.80752,75.77305150032043
19,87.98,0.24428626772562662,0.1654021934668223,38112.48,680.63016,79.79240202903748
20,88.0,0.23761091785430907,0.16422796980539958,40118.4,716.4528,83.84401154518127
21,87.72,0.23169764076868693,0.16288359608650207,42124.32,752.27544,87.88506531715393
22,87.66,0.22636032183965046,0.16142083002726237,44130.24,788.09808,92.07343769073486
23,87.76,0.22151993459065755,0.1600923163731893,46136.16,823.92072,96.0790741443634
24,87.78,0.21706273107528687,0.15873625712394715,48142.08,859.74336,100.26251101493835
25,88.18,0.21301205371220908,0.1571631362915039,50148.0,895.566,104.51676106452942
26,87.86,0.20932747125625611,0.15562353043556212,52153.92,931.38864,108.7890465259552
27,88.34,0.205892324479421,0.15401361104647318,54159.84,967.21128,113.01641511917114
28,88.5,0.20275703093210856,0.15245127998987834,56165.76,1003.03392,117.30136442184448
29,88.38,0.19988046506245932,0.15080268987019857,58171.68,1038.85656,121.5356035232544
30,88.64,0.19725402488708496,0.14904428737958272,60177.6,1074.6792,125.7859411239624
31,88.66,0.19482761316299438,0.14730402433077494,62183.52,1110.50184,130.08799004554749
32,88.88,0.1925995804786682,0.1455702036221822,64189.44,1146.32448,134.21718978881836
33,89.18,0.1906039774576823,0.14363996111551922,66195.36,1182.14712,138.23551678657532
34,88.84,0.18875565338134764,0.14176018573443094,68201.28,1217.96976,142.26026701927185
35,89.1,0.1871017209370931,0.1396551652431488,70207.2,1253.7924,146.3205213546753
36,89.36,0.18565835405985515,0.1375806208292643,72213.12,1289.61504,150.34097051620483
37,89.56,0.1842449361483256,0.13534618169466656,74219.04,1325.43768,154.3639476299286
38,89.76,0.18303920100529988,0.13304990719159443,76224.96,1361.26032,158.39244627952576
39,89.5,0.18190936635335286,0.1309524607817332,78230.88,1397.08296,162.60426115989685
40,89.96,0.1809110596338908,0.1284212897459666,80236.8,1432.9056,166.8556945323944
