Epoch,Accuracy,MDL_Total,FLOPs_D(G),FLOPs_S(G),DM_D(GB),DM_S(GB),Bits_D(Gb),Bits_S(Gb),Time_s
1,89.4,35011.98545837402,1199.95776,1195.293168924,18.56958912,2404.300471056,36.67968,73.033385664,4.810832500457764
2,92.6,23441.54319000244,2399.91552,2389.741556316,37.13917824,4806.907069104,73.35936,146.032291776,9.550402641296387
3,93.71,19376.471704483032,3599.87328,3583.794263496,55.70876736,7208.720286048,110.03904,219.015032448,14.25255298614502
4,94.27,17088.740070343018,4799.83104,4777.52184254,74.27835648,9609.881587824,146.71872,291.984501952,18.927310466766357
5,94.8,15525.002517700195,5999.7888,5970.97206626,92.8479456,12010.486762776,183.3984,364.942642048,23.65375280380249
6,95.06,14345.831813812256,7199.74656,7164.156499108,111.41753472,14410.558999608,220.07808,437.889931136,28.394436836242676
7,95.24,13412.71251296997,8399.70432,8357.061392352,129.98712384,16810.070731128,256.75776,510.825811392,33.07429885864258
8,95.41,12644.866111755371,9599.66208,9549.715800616,148.55671296,19209.080215896,293.43744,583.751477312,37.8173246383667
9,95.67,11989.797119140625,10799.61984,10742.096202592,167.12630208,21607.540288296,330.11712,656.665944896,42.49168634414673
10,95.72,11436.69658088684,11999.5776,11934.216522244,185.6958912,24005.478868584,366.7968,729.569792768,47.16725134849548
11,95.83,10955.047304153442,13199.53536,13126.077130344,204.26548032,26402.89670172,403.47648,802.463048256,51.91657042503357
12,95.76,10539.6783618927,14399.49312,14317.697023836,222.83506944,28799.831876904,440.15616,875.346473856,56.61852836608887
13,95.98,10163.830983161926,15599.45088,15509.095137508,241.40465856,31196.322360168,476.83584,948.220841216,61.32942247390747
14,96.04,9833.94824886322,16799.40864,16700.235320648,259.97424768,33592.295667936,513.51552,1021.08469312,66.03641271591187
15,96.13,9545.049407958984,17999.3664,17891.130038732,278.5438368,35987.776790376,550.1952,1093.938503296,70.75743293762207
16,96.19,9271.469669342041,19199.32416,19081.775794936,297.11342592,38382.75872088,586.87488,1166.782168064,75.45925378799438
17,96.25,9044.464923858643,20399.28192,20272.168978104,315.68301504,40777.234214976,623.55456,1239.615510144,80.14081525802612
18,96.35,8818.211507797241,21599.23968,21462.3111686,334.25260416,43171.20644448,660.23424,1312.43861824,84.86594486236572
19,96.35,8623.451426506042,22799.19744,22652.178124676,352.82219328,45564.626799552,696.91392,1385.2504816,89.5445830821991
20,96.35,8445.175886154175,23999.1552,23841.785593676,371.3917824,47957.526858288,733.5936,1458.051767488,94.24339127540588
