Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,85.88,2005.92,35.82264,4.232412099838257
2,87.82,4011.84,71.64528,8.54297423362732
3,88.66,6017.76,107.46792,12.9284029006958
4,89.88,8023.68,143.29056,17.329824686050415
5,91.3,10029.6,179.1132,21.691248416900635
6,91.22,12035.52,214.93584,26.152884006500244
7,92.1,14041.44,250.75848,30.54582118988037
8,92.3,16047.36,286.58112,34.94865655899048
9,93.0,18053.28,322.40376,39.37291169166565
10,93.46,20059.2,358.2264,43.70292568206787
11,93.56,22065.12,394.04904,47.967313289642334
12,94.0,24071.04,429.87168,52.31791663169861
13,94.06,26076.96,465.69432,56.57878923416138
14,94.48,28082.88,501.51696,60.8674693107605
15,94.7,30088.8,537.3396,65.1557605266571
16,94.8,32094.72,573.16224,69.54950475692749
17,94.98,34100.64,608.98488,73.77622699737549
18,94.98,36106.56,644.80752,77.9752790927887
19,95.22,38112.48,680.63016,82.1229236125946
20,95.38,40118.4,716.4528,86.42671871185303
21,95.46,42124.32,752.27544,90.70442867279053
22,95.46,44130.24,788.09808,94.97588610649109
23,95.64,46136.16,823.92072,99.16312980651855
24,95.52,48142.08,859.74336,103.31522965431213
25,95.74,50148.0,895.566,107.51088428497314
26,95.82,52153.92,931.38864,111.75286722183228
27,95.88,54159.84,967.21128,116.05744338035583
28,95.92,56165.76,1003.03392,120.25762629508972
29,95.86,58171.68,1038.85656,124.5096070766449
30,95.96,60177.6,1074.6792,128.785174369812
31,95.94,62183.52,1110.50184,133.21195077896118
32,96.2,64189.44,1146.32448,137.47269320487976
33,96.1,66195.36,1182.14712,141.85831689834595
34,96.22,68201.28,1217.96976,146.07815718650818
35,96.14,70207.2,1253.7924,150.41733407974243
36,96.3,72213.12,1289.61504,154.76394057273865
37,96.32,74219.04,1325.43768,159.14437699317932
38,96.22,76224.96,1361.26032,163.54269194602966
39,96.28,78230.88,1397.08296,167.9763343334198
40,96.42,80236.8,1432.9056,172.42951273918152
