number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha_gen,params_lr_activities,params_lr_weights,params_momentum,params_weight_decay,state
0,1.0287242117881774,2026-01-29 14:32:57.837903,2026-01-29 14:34:51.307344,0 days 00:01:53.469441,tanh,0.001,0.0005918051793880038,7.378645078700115e-06,0.9,0.0038073831923345195,COMPLETE
1,0.993990087032318,2026-01-29 14:34:51.307467,2026-01-29 14:36:43.934196,0 days 00:01:52.626729,tanh,0.0001,0.0012527542300235742,4.210284349386291e-06,0.9,0.0022870374566402816,COMPLETE
2,0.7421102358818055,2026-01-29 14:36:43.934320,2026-01-29 14:38:59.401350,0 days 00:02:15.467030,gelu,0.01,0.0204079887708434,3.757362134897883e-05,0.5,0.0014893800947376,COMPLETE
3,1.3584626110076905,2026-01-29 14:38:59.401443,2026-01-29 14:41:14.841931,0 days 00:02:15.440488,gelu,0.01,0.00576782224594304,2.127110777682574e-06,0.9,0.00019861503643843083,COMPLETE
4,1.0105938635826113,2026-01-29 14:41:14.842006,2026-01-29 14:43:11.859892,0 days 00:01:57.017886,leaky_relu,0.001,0.0005608528579280523,4.3923205222631265e-06,0.9,0.00012466062017127034,COMPLETE
5,2.3442719885826113,2026-01-29 14:43:11.860000,2026-01-29 14:43:21.235857,0 days 00:00:09.375857,leaky_relu,1.0,0.00013556233471755913,5.570722079374262e-06,0.9,0.00045222257995377013,PRUNED
6,2.5062029609680176,2026-01-29 14:43:21.235939,2026-01-29 14:43:25.909742,0 days 00:00:04.673803,leaky_relu,0.0001,0.00010852549262023193,1.1333988867207173e-06,0.9,0.0003561863119300266,PRUNED
7,2.100981086063385,2026-01-29 14:43:25.909794,2026-01-29 14:43:36.719013,0 days 00:00:10.809219,gelu,0.001,0.0002463432009018109,3.1785143437032887e-06,0.0,0.00011904784577224116,PRUNED
8,2.184115758037567,2026-01-29 14:43:36.719057,2026-01-29 14:43:46.134972,0 days 00:00:09.415915,leaky_relu,0.01,0.04741606396318124,6.839131404607894e-06,0.9,1.4274696018897061e-05,PRUNED
9,2.4142724125862123,2026-01-29 14:43:46.135022,2026-01-29 14:43:50.818505,0 days 00:00:04.683483,leaky_relu,0.1,0.0023465954400577267,7.850563230756016e-06,0.5,7.346181892955728e-05,PRUNED
10,0.6981377422332764,2026-01-29 14:43:50.818548,2026-01-29 14:46:06.298425,0 days 00:02:15.479877,gelu,0.01,0.03598618989508816,4.840120612621265e-05,0.5,0.008226097163545673,COMPLETE
11,0.6942769258499146,2026-01-29 14:46:06.298504,2026-01-29 14:48:21.627575,0 days 00:02:15.329071,gelu,0.01,0.042485524365058,4.7946295434329884e-05,0.5,0.009386199344571326,COMPLETE
12,0.6155656856536864,2026-01-29 14:48:21.627685,2026-01-29 14:50:36.876662,0 days 00:02:15.248977,gelu,0.01,0.01277830218727129,7.913870618927698e-05,0.5,0.007841374438587217,COMPLETE
13,0.6080079183578491,2026-01-29 14:50:36.876742,2026-01-29 14:52:52.294129,0 days 00:02:15.417387,gelu,0.01,0.007105460741463768,8.875286404451948e-05,0.5,0.00764390389873308,COMPLETE
14,2.094326055431366,2026-01-29 14:52:52.294246,2026-01-29 14:52:57.705708,0 days 00:00:05.411462,gelu,1.0,0.010616045027234039,8.905203876704331e-05,0.5,0.000991964190107206,PRUNED
15,2.197209603500366,2026-01-29 14:52:57.705760,2026-01-29 14:53:03.126397,0 days 00:00:05.420637,gelu,0.1,0.005110205863582642,1.440422374794359e-05,0.0,0.003989630972438235,PRUNED
16,1.9590214980125427,2026-01-29 14:53:03.126445,2026-01-29 14:53:08.526448,0 days 00:00:05.400003,gelu,0.01,0.011649050693618388,2.0433976513427492e-05,0.5,0.0008860520014330231,PRUNED
17,0.38547234897613514,2026-01-29 14:53:08.526491,2026-01-29 14:55:01.319649,0 days 00:01:52.793158,tanh,0.01,0.0032044497047372315,9.64318788910309e-05,0.5,0.004036459333876232,COMPLETE
18,1.5042982159614562,2026-01-29 14:55:01.319756,2026-01-29 14:55:05.834950,0 days 00:00:04.515194,tanh,0.01,0.003017872918467311,2.7429623894209225e-05,0.5,0.0029253153879534805,PRUNED
19,1.7027117856025695,2026-01-29 14:55:05.835011,2026-01-29 14:55:10.430341,0 days 00:00:04.595330,tanh,1.0,0.0013345542120129425,9.746587003626812e-05,0.0,2.8278040878241458e-05,PRUNED
