dataset,epoch,train_acc,test_acc,time,synops
MNIST,0,100.0,9.805689102564102,367.40005230903625,41005382920.0
MNIST,1,100.0,9.805689102564102,373.3508851528168,41016173536.0
MNIST,2,100.0,9.805689102564102,348.6341574192047,40965637254.0
MNIST,3,100.0,9.805689102564102,430.72318291664124,40942020336.0
