epoch,train_acc,test_acc
1,9.875266808964781,9.805689102564102
2,9.868596584845251,9.805689102564102
3,9.870264140875133,9.805689102564102
4,9.871931696905015,9.805689102564102
5,9.873599252934898,9.805689102564102
6,9.873599252934898,9.805689102564102
7,9.868596584845251,9.805689102564102
8,9.873599252934898,9.805689102564102
9,9.871931696905015,9.805689102564102
10,9.866929028815369,9.805689102564102
